match_id,player1,player2,elapsed_time,p1_sets,p2_sets,p1_games,p2_games,score_lead,Tie_breakers,server,serve_no,point_victor,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:00,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7.84,2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:38,0,0,0,0,-1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:01,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:31,0,0,0,0,-1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:21,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:50,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:03:33,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:01,0,0,0,0,1,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:48,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:05:32,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:07:05,0,0,1,0,0,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785,4.915,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:07:28,0,0,1,0,-1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.744,18.244,4
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:08:06,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.013,18.626,4
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:08:41,0,0,1,0,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.667,7.112,3
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:09:11,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,2.237,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:09:37,0,0,1,0,-1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.307,2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:10:20,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.245,5.499,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:10:45,0,0,1,0,-1,1,2,1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15.194,16.594,3
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:11:24,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,1.073,1
